case,expected,result,evidence,evidence_environment,cleanup
CROSS_CUSTOMER_FIELD_DEFINITION_ISOLATION,customer B database cannot discover A manual definitions,PASS,customer UAT has 11 manual fields; separate acceptance/product databases have 0,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
INTRA_TENANT_COMPANY_FIELD_DEFINITION,company B contract excludes company A-only definitions,FAIL,same 28 aliases and digest in both company contracts,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
VIEW_CONTRACT_ISOLATION,company B contract excludes A-only legacy aliases,FAIL,company A/B payment.request view contracts are identical,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
VALUE_ISOLATION,ordinary manager cannot read A records in B context,PASS,record count 34891/0 and forced cross-company read AccessError,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
DIRECT_METADATA_API,ordinary user cannot query ir.model.fields,PASS,ordinary internal users received AccessError,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
PRIVILEGED_METADATA_BOUNDARY,configuration administrator metadata access is explicit,PASS,authorized configuration user can see all global definitions,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
NEW_COMPANY_BOOTSTRAP,new company receives no p1_visible fields,FAIL,fields are registry-global and company-independent,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
NEW_TENANT_DATABASE_BOOTSTRAP,new product database receives only formal product fields,FAIL,aliases are generated by installed P1 product source,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
SAME_NAME_DIFFERENT_TYPE,A/B extension names may differ in type,FAIL,global model.field identity cannot hold two types,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
EXTENSION_CHANGE_CONTAINMENT,A extension change cannot alter B schema/contract,FAIL,manual fields are global metadata and public columns,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
COMPANY_SWITCH_RESIDUE,company switch removes prior company field definitions,FAIL,contract alias digest remains identical across company switch,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
CACHE_ISOLATION,field contracts are not shared across customer databases,PASS,database-per-customer process boundary; generic contract cache is disabled by default,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
EXPORT_ISOLATION,export values respect record rules,PASS,formal API/ORM record scope is company constrained for ordinary manager,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
DATABASE_TENANT_ISOLATION,separate customer database has independent values,PASS,architecture policy mandates database-per-customer,ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
TRANSACTION_ROLLBACK,temporary user and company tests leave no data,PASS,all ORM probes ended with env.cr.rollback(),ISOLATED_CUSTOMER_UAT_READ_ONLY,ROLLBACK_CONFIRMED
