model,table,python_path,views,actions,menus,ACL,record_rules,cron,seed,record_count,runtime_references,report_dependencies,frontend_contract_dependencies,customer_adapter_dependencies,classification,final_owner,decision_evidence
sc.history.todo,sc_history_todo,product:addons/smart_construction_core/models/support/history_todo.py,product:addons/smart_construction_core/data/view_orchestration_contract_generated_data.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/history_todo_views.xml,product:addons/smart_construction_core/views/support/history_todo_views.xml,product:addons/smart_construction_core/views/support/history_todo_views.xml,,,,product:addons/smart_construction_core/data/view_orchestration_contract_generated_data.xml,79702,product:addons/smart_construction_core/models/core/list_batch_archive_extensions.py;product:addons/smart_construction_core/models/support/formal_entry_metadata_extensions.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.invoice.analysis.summary,sc_invoice_analysis_summary,external_customer_legacy_module/models/legacy_invoice_analysis_summary.py,external_customer_legacy_module/views/legacy_invoice_analysis_summary_views.xml,external_customer_legacy_module/views/legacy_invoice_analysis_summary_views.xml,,,,,,596,,external_customer_legacy_module/views/legacy_invoice_analysis_summary_views.xml,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.invoice.cost.progress.summary,sc_invoice_cost_progress_summary,external_customer_legacy_module/models/legacy_invoice_cost_progress_summary.py,external_customer_legacy_module/views/legacy_invoice_cost_progress_summary_views.xml,external_customer_legacy_module/views/legacy_invoice_cost_progress_summary_views.xml,,,,,,619,,external_customer_legacy_module/views/legacy_invoice_cost_progress_summary_views.xml,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.account.master,sc_legacy_account_master,product:addons/smart_construction_core/models/support/legacy_account_master.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_account_master_views.xml,product:addons/smart_construction_core/views/support/legacy_account_master_views.xml,product:addons/smart_construction_core/views/support/legacy_account_master_views.xml,,,,,165,product:addons/smart_construction_core/models/projection/account_income_expense_summary.py;product:addons/smart_construction_core/models/support/legacy_account_transaction_line.py,product:addons/smart_construction_core/models/projection/account_income_expense_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.account.transaction.line,sc_legacy_account_transaction_line,product:addons/smart_construction_core/models/support/legacy_account_transaction_line.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_account_transaction_line_views.xml,product:addons/smart_construction_core/views/support/legacy_account_transaction_line_views.xml,product:addons/smart_construction_core/views/support/legacy_account_transaction_line_views.xml,,,,,41384,product:addons/smart_construction_core/models/projection/account_income_expense_summary.py;product:addons/smart_construction_core/models/projection/company_operation_summary.py;product:addons/smart_construction_core/models/support/operating_metrics_project.py,product:addons/smart_construction_core/models/projection/account_income_expense_summary.py;product:addons/smart_construction_core/models/projection/company_operation_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.ar.ap.report.fact,sc_legacy_ar_ap_report_fact,product:addons/smart_construction_core/models/support/legacy_ar_ap_report_fact.py,,,,,,,,195,product:addons/smart_construction_core/models/projection/ar_ap_report_summary.py,product:addons/smart_construction_core/models/projection/ar_ap_report_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.attendance.checkin,sc_legacy_attendance_checkin,external_customer_legacy_module/models/legacy_owned_v2.py,,,,,,,,0,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.business.entity.map,sc_legacy_business_entity_map,product:addons/smart_construction_core/models/support/business_entity.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/business_entity_views.xml,product:addons/smart_construction_core/views/support/business_entity_views.xml,product:addons/smart_construction_core/views/support/business_entity_views.xml,,,,,41,product:addons/smart_construction_core/models/support/workflow_contract_service.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.business.fact.residual,sc_legacy_business_fact_residual,external_customer_legacy_module/models/legacy_business_fact_residual.py,external_customer_legacy_module/views/legacy_business_fact_residual_views.xml,external_customer_legacy_module/views/legacy_business_fact_residual_views.xml,external_customer_legacy_module/views/legacy_business_fact_residual_views.xml,,,,,0,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.construction.diary.line,sc_legacy_construction_diary_line,external_customer_legacy_module/models/legacy_owned_v2.py,,,,,,,,5687,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
