case,fixture,expected,actual,result,evidence
FIELD_DEFINITION_ISOLATION,A_and_B_same_key_different_type,B_contract_excludes_A_definition,B_contract_contains_only_B_definition,PASS,test_contract_is_company_action_and_role_scoped
VALUE_ISOLATION,A_definition_and_A_value,B_active_context_reads_A,A_active_company_required_and_access_denied,PASS,test_cross_company_values_and_exports_fail_closed
VIEW_CONTRACT_ISOLATION,A_action_slot_and_B_action_slot,wrong_action_has_no_extension,empty_contract,PASS,test_contract_is_company_action_and_role_scoped
CACHE_ISOLATION,A_and_B_company_cache_keys,no_cross_company_reuse,company_and_user_and_model_and_schema_partitioned,PASS,test_contract_is_company_action_and_role_scoped
COMPANY_SWITCH_INVALIDATION,active_company_switch,contract_re_resolves_for_company,distinct_contract_returned,PASS,test_contract_is_company_action_and_role_scoped
EXTENSION_CHANGE_INVALIDATION,definition_create_and_retire,stale_contract_not_reused,registry_cache_invalidated_on_mutation,PASS,test_contract_cache_is_invalidated_on_definition_change
EXPORT_ISOLATION,A_definition_and_A_record,B_cannot_export_A,access_denied_before_value_read,PASS,test_cross_company_values_and_exports_fail_closed
NEW_TENANT_BOOTSTRAP,new_company_without_definition,no_extensions,empty_contract,PASS,test_contract_is_company_action_and_role_scoped
PUBLIC_SCHEMA_STABILITY,create_definition,no_res_partner_column_growth,column_count_constant,PASS,test_definition_does_not_change_business_schema_or_global_fields
GLOBAL_MODEL_METADATA_STABILITY,create_definition,no_res_partner_ir_model_fields_growth,field_count_constant,PASS,test_definition_does_not_change_business_schema_or_global_fields
