surface_id,role,menu_xmlid,parent_menu_xmlid_chain,navigation_path,action_xmlid,model,source_module,required_groups,capability,acl_read,acl_create,acl_write,record_rule_exists,record_rules,product_policy_released,policy_release_state,role_root_allowed,role_blocked,http_statuses,load_result,old_70_membership,final_decision,decision_reason
FE-AUD-fixture_role_finance-1,finance,smart_construction_core.menu_sc_project_tender,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_tender_management_group,系统菜单 / 项目中心 / 投标管理 / 投标项目,smart_construction_core.action_tender_bid,tender.bid,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_project_tender,false,false,false,false,,true,released,false,false,403,permission,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-2,finance,smart_construction_core.menu_sc_tender_prepare,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_tender_management_group,系统菜单 / 项目中心 / 投标管理 / 投标准备,smart_construction_core.action_sc_tender_prepare,tender.bid,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_tender_prepare,false,false,false,false,,true,released,false,false,403,permission,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-3,finance,smart_construction_core.menu_sc_tender_registration,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_tender_management_group,系统菜单 / 项目中心 / 投标管理 / 投标报名管理,smart_construction_core.action_sc_tender_registration,tender.bid,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_tender_registration,false,false,false,false,,true,released,false,false,403,permission,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-4,finance,smart_construction_core.menu_sc_tender_won,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_tender_management_group,系统菜单 / 项目中心 / 投标管理 / 中标记录,smart_construction_core.action_sc_tender_won,tender.bid,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_tender_won,false,false,false,false,,true,released,false,false,403,permission,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-5,finance,smart_construction_core.menu_sc_site_documents,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_doc_center,系统菜单 / 项目中心 / 施工资料 / 现场资料,smart_construction_core.action_sc_project_document,sc.project.document,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_site_documents,true,false,false,false,,true,released,false,false,200,empty,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-6,finance,smart_construction_core.menu_sc_project_project,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_project_management_group,系统菜单 / 项目中心 / 项目管理 / 项目台账,smart_construction_core.action_sc_project_list,project.project,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_project_project,true,false,false,true,project.project_comp_rule|project.project_public_members_rule|smart_construction_core.rule_sc_project_read_project_project,true,released,false,false,200,empty,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-7,finance,smart_construction_core.menu_sc_project_wbs,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_project_management_group,系统菜单 / 项目中心 / 项目管理 / 执行结构,smart_construction_core.action_exec_structure_entry,project.project,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_project_wbs,false,false,false,false,,true,released,false,false,200,empty,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-8,finance,smart_construction_core.menu_sc_project_kanban,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_project_management_group,系统菜单 / 项目中心 / 项目管理 / 项目看板,smart_construction_core.action_project_dashboard,project.project,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_project_kanban,true,false,false,true,project.project_comp_rule|project.project_public_members_rule|smart_construction_core.rule_sc_project_read_project_project,true,released,false,false,200,empty,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-9,finance,smart_construction_core.menu_sc_project_management_scene,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_project_management_group,系统菜单 / 项目中心 / 项目管理 / 项目驾驶舱,smart_construction_core.action_project_dashboard,project.project,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_project_management_scene,true,false,false,true,project.project_comp_rule|project.project_public_members_rule|smart_construction_core.rule_sc_project_read_project_project,true,released,false,false,200,empty,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
FE-AUD-fixture_role_finance-10,finance,smart_construction_core.menu_sc_project_documents,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_project_center > smart_construction_core.menu_sc_project_management_group,系统菜单 / 项目中心 / 项目管理 / 项目资料,smart_construction_core.action_sc_project_document,sc.project.document,smart_construction_core,smart_construction_core.group_sc_cap_project_read,catalog.menu.smart_construction_core_menu_sc_project_documents,true,false,false,false,,true,released,false,false,200,empty,false,DENIED_BY_CAPABILITY,outside_role_allowlisted_roots
