surface_id,role,menu_xmlid,parent_menu_xmlid_chain,navigation_path,action_xmlid,model,source_module,required_groups,capability,acl_read,acl_create,acl_write,record_rule_exists,record_rules,product_policy_released,policy_release_state,role_root_allowed,role_blocked,http_statuses,load_result,old_70_membership,final_decision,decision_reason,exposure_mode,primary_group,task_key,journey_refs,entry_reason,context_parent
FE-AUD-fixture_role_finance-18,finance,smart_construction_core.menu_sc_receipt_income,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 收款登记,smart_construction_core.action_sc_receipt_income,sc.receipt.income,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_receipt_income,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务办理,finance.receipt,"J05,E2E-07",独立高频任务或正式旅程入口,
FE-AUD-fixture_role_finance-19,finance,smart_construction_core.menu_sc_settlement_order,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group > smart_construction_core.menu_sc_settlement_center,系统菜单 / 财务中心 / 收付款办理 / 结算中心 / 结算单,smart_construction_core.action_sc_settlement_order,sc.settlement.order,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_cost_read|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_project_read|smart_construction_core.group_sc_cap_settlement_read,catalog.menu.smart_construction_core_menu_sc_settlement_order,true,false,false,true,smart_construction_core.rule_sc_settlement_manager_order|smart_construction_core.rule_sc_settlement_read_order,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务办理,finance.settlement,"J04,J05,E2E-08",独立高频任务或正式旅程入口,
FE-AUD-fixture_role_finance-20,finance,smart_construction_core.menu_sc_settlement_adjustment,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group > smart_construction_core.menu_sc_settlement_center,系统菜单 / 财务中心 / 收付款办理 / 结算中心 / 结算调整,smart_construction_core.action_sc_settlement_adjustment,sc.settlement.adjustment,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_cost_read|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_project_read|smart_construction_core.group_sc_cap_settlement_read,catalog.menu.smart_construction_core_menu_sc_settlement_adjustment,true,false,false,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_settlement_center
FE-AUD-fixture_role_finance-21,finance,smart_construction_core.menu_sc_user_income,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 收入,smart_construction_core.action_sc_receipt_income_user_income,sc.receipt.income,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_user_income,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_receipt_payment_group
FE-AUD-fixture_role_finance-22,finance,smart_construction_core.menu_sc_engineering_progress_income,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 工程进度款收入登记,smart_construction_core.action_sc_receipt_income_engineering_progress,sc.receipt.income,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_engineering_progress_income,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_receipt_payment_group
FE-AUD-fixture_role_finance-23,finance,smart_construction_core.menu_payment_request_receive,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 收款申请,smart_construction_core.action_payment_request_receive,payment.request,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_payment_request_receive,true,true,true,true,smart_construction_core.rule_sc_finance_manager_payment_request|smart_construction_core.rule_sc_finance_read_payment_request|smart_construction_core.rule_sc_finance_user_payment_request,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_receipt_payment_group
FE-AUD-fixture_role_finance-24,finance,smart_construction_core.menu_sc_user_payment_apply_acceptance,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 支付申请,smart_construction_core.action_payment_request_user_payment_apply,payment.request,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_user_payment_apply_acceptance,true,true,true,true,smart_construction_core.rule_sc_finance_manager_payment_request|smart_construction_core.rule_sc_finance_read_payment_request|smart_construction_core.rule_sc_finance_user_payment_request,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务办理,finance.payment_request,"J05,J06,J08,E2E-06",独立高频任务或正式旅程入口,
FE-AUD-fixture_role_finance-25,finance,smart_construction_core.menu_sc_partner_payment,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 往来单位付款,smart_construction_core.action_sc_payment_execution_partner_payment,sc.payment.execution,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_partner_payment,true,true,true,true,smart_construction_core.rule_sc_finance_manager_payment_execution|smart_construction_core.rule_sc_finance_read_payment_execution|smart_construction_core.rule_sc_finance_user_payment_execution,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_receipt_payment_group
FE-AUD-fixture_role_finance-26,finance,smart_construction_core.menu_sc_payment_execution,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 实付登记,smart_construction_core.action_sc_payment_execution_actual_outflow,sc.payment.execution,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_payment_execution,true,true,true,true,smart_construction_core.rule_sc_finance_manager_payment_execution|smart_construction_core.rule_sc_finance_read_payment_execution|smart_construction_core.rule_sc_finance_user_payment_execution,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务办理,finance.payment_execution,"J05,J08,E2E-07",独立高频任务或正式旅程入口,
FE-AUD-fixture_role_finance-27,finance,smart_construction_core.menu_sc_company_finance_expense,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_receipt_payment_group,系统菜单 / 财务中心 / 收付款办理 / 公司财务支出,smart_construction_core.action_sc_payment_execution_company_finance_expense,sc.payment.execution,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_company_finance_expense,true,true,true,true,smart_construction_core.rule_sc_finance_manager_payment_execution|smart_construction_core.rule_sc_finance_read_payment_execution|smart_construction_core.rule_sc_finance_user_payment_execution,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_receipt_payment_group
