menu_xmlid,current_path,current_name,action_xmlid,group_xmlids,level,technical_name_risk,proposed_level_1,proposed_level_2,proposed_level_3,decision,product_owner_evidence,runtime_evidence,migration_compatibility,unresolved_reason
base.menu_action_res_groups,base.menu_action_res_groups,,,"smart_construction_core.group_sc_super_admin,smart_core.group_smart_core_admin",1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
base.menu_administration,base.menu_administration,,,base.group_system,1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
base.menu_apps,base.menu_apps,,,base.group_system,1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
base.menu_management,base.menu_management,,,base.group_system,1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
project.menu_main_pm,project.menu_main_pm,,,smart_construction_core.group_sc_cap_config_admin,1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_payment_ledger,智慧施工管理平台 / 统计分析 / 财务分析 / 付款统计表,付款统计表,smart_construction_core.action_sc_treasury_ledger_payment,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_payment_request,智慧施工管理平台 / 财务中心 / 付款事实 / 付款申请,付款申请,smart_construction_core.action_payment_request_pay,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_payment_request_line,智慧施工管理平台 / 财务中心 / 付款事实 / 付款申请明细,付款申请明细,smart_construction_core.action_payment_request_line,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_payment_request_receive,智慧施工管理平台 / 财务中心 / 收付款办理 / 收款申请,收款申请,smart_construction_core.action_payment_request_receive,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_project_budget,project.menu_main_pm / 项目预算,项目预算,smart_construction_core.action_project_budget,smart_construction_core.group_sc_cap_cost_read,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_project_funding_actual_event_allocation,智慧施工管理平台 / 财务中心 / 资金计划实际付款分配,资金计划实际付款分配,smart_construction_core.action_project_funding_actual_event_allocation,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
