surface_id,role,navigation_path,navigation_label,route,menu_id,action_id,menu_xmlid,action_xmlid,model,page_type,actual_component,title,document_title,breadcrumbs,identity_source,identity_result,reachable,load_result,write_capable,screenshot,load_ms,technical_leak,generic_title,notes
"FE-AUD-demo_role_finance-1","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 收款申请","收款申请","/a/746?menu_id=385","385","746","smart_construction_core.menu_payment_request_receive","smart_construction_core.action_payment_request_receive","payment.request","list","ActionViewShell.vue → ListPage.vue","收款申请 · 暂无数据","收款申请 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,收款管理,收款申请,收款申请 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-001.png","3522","false","false",""
"FE-AUD-demo_role_finance-2","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 收款登记","收款登记","/a/699?menu_id=368","368","699","smart_construction_core.menu_sc_receipt_income","smart_construction_core.action_sc_receipt_income","sc.receipt.income","list","ActionViewShell.vue → ListPage.vue","收款收入 · 暂无数据","收款收入 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,收款管理,收款登记,收款收入 · 暂无数据","action","PASS","true","empty","true","artifacts/frontend-page-identity/demo_role_finance-002.png","3760","false","false",""
"FE-AUD-demo_role_finance-3","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 收入","收入","/a/873?menu_id=591","591","873","smart_construction_core.menu_sc_user_income","smart_construction_core.action_sc_receipt_income_user_income","sc.receipt.income","list","ActionViewShell.vue → ListPage.vue","收入 · 暂无数据","收入 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,收款管理,收入,收入 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-003.png","2634","false","false",""
"FE-AUD-demo_role_finance-4","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 工程进度款收入登记","工程进度款收入登记","/a/874?menu_id=592","592","874","smart_construction_core.menu_sc_engineering_progress_income","smart_construction_core.action_sc_receipt_income_engineering_progress","sc.receipt.income","list","ActionViewShell.vue → ListPage.vue","工程进度款收入登记 · 暂无数据","工程进度款收入登记 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,收款管理,工程进度款收入登记,工程进度款收入登记 · 暂无数据","action","PASS","true","empty","true","artifacts/frontend-page-identity/demo_role_finance-004.png","2216","false","false",""
"FE-AUD-demo_role_finance-5","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 借款申请","借款申请","/a/870?menu_id=595","595","870","smart_construction_core.menu_sc_borrowing_request","smart_construction_core.action_sc_financing_loan_borrowing_request","sc.financing.loan","list","ActionViewShell.vue → ListPage.vue","借款申请 · 暂无数据","借款申请 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,借还款,借款申请,借款申请 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-005.png","2313","false","false",""
"FE-AUD-demo_role_finance-6","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 还款登记","还款登记","/a/862?menu_id=596","596","862","smart_construction_core.menu_sc_repayment_registration","smart_construction_core.action_sc_expense_claim_repayment_registration","sc.expense.claim","list","ActionViewShell.vue → ListPage.vue","还款登记 · 暂无数据","还款登记 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,借还款,还款登记,还款登记 · 暂无数据","action","PASS","true","empty","true","artifacts/frontend-page-identity/demo_role_finance-006.png","2569","false","false",""
"FE-AUD-demo_role_finance-7","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 承包人还项目款","承包人还项目款","/a/863?menu_id=598","598","863","smart_construction_core.menu_sc_contractor_project_repay","smart_construction_core.action_sc_expense_claim_contractor_project_repay","sc.expense.claim","list","ActionViewShell.vue → ListPage.vue","承包人还项目款 · 暂无数据","承包人还项目款 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,借还款,承包人还项目款,承包人还项目款 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-007.png","2383","false","false",""
"FE-AUD-demo_role_finance-8","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 承包人借项目款","承包人借项目款","/a/871?menu_id=599","599","871","smart_construction_core.menu_sc_contractor_project_borrow","smart_construction_core.action_sc_financing_loan_contractor_project_borrow","sc.financing.loan","list","ActionViewShell.vue → ListPage.vue","承包人借项目款 · 暂无数据","承包人借项目款 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,借还款,承包人借项目款,承包人借项目款 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-008.png","2314","false","false",""
"FE-AUD-demo_role_finance-9","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 项目借公司款登记","项目借公司款登记","/a/872?menu_id=600","600","872","smart_construction_core.menu_sc_project_borrow_company","smart_construction_core.action_sc_financing_loan_project_borrow_company","sc.financing.loan","list","ActionViewShell.vue → ListPage.vue","项目借公司款登记 · 暂无数据","项目借公司款登记 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,借还款,项目借公司款登记,项目借公司款登记 · 暂无数据","action","PASS","true","empty","true","artifacts/frontend-page-identity/demo_role_finance-009.png","2731","false","false",""
"FE-AUD-demo_role_finance-10","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 项目还公司款登记","项目还公司款登记","/a/864?menu_id=601","601","864","smart_construction_core.menu_sc_project_repay_company","smart_construction_core.action_sc_expense_claim_project_repay_company","sc.expense.claim","list","ActionViewShell.vue → ListPage.vue","项目还公司款登记 · 暂无数据","项目还公司款登记 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,借还款,项目还公司款登记,项目还公司款登记 · 暂无数据","action","PASS","true","empty","true","artifacts/frontend-page-identity/demo_role_finance-010.png","2251","false","false",""
"FE-AUD-demo_role_finance-11","demo_role_finance","系统菜单 / 财务中心 / 账户资金 / 资金对账","资金对账","/a/698?menu_id=367","367","698","smart_construction_core.menu_sc_treasury_reconciliation","smart_construction_core.action_sc_treasury_reconciliation","sc.treasury.reconciliation","list","ActionViewShell.vue → ListPage.vue","资金对账 · 暂无数据","资金对账 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,账户资金,资金对账,资金对账 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-011.png","2119","false","false",""
"FE-AUD-demo_role_finance-12","demo_role_finance","系统菜单 / 财务中心 / 账户资金 / 资金日报表","资金日报表","/a/881?menu_id=620","620","881","smart_construction_core.menu_sc_fund_daily_user_report","smart_construction_core.action_sc_fund_daily_user_report","sc.fund.account.operation","list","ActionViewShell.vue → ListPage.vue","资金日报表 · 暂无数据","资金日报表 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,账户资金,资金日报表,资金日报表 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-012.png","2298","false","false",""
"FE-AUD-demo_role_finance-13","demo_role_finance","系统菜单 / 财务中心 / 账户资金 / 账户间资金往来","账户间资金往来","/a/879?menu_id=616","616","879","smart_construction_core.menu_sc_fund_account_between_user","smart_construction_core.action_sc_fund_account_between_user","sc.fund.account.operation","list","ActionViewShell.vue → ListPage.vue","账户间资金往来 · 暂无数据","账户间资金往来 · 暂无数据 - 智能施工企业管理平台","系统菜单,财务中心,账户资金,账户间资金往来,账户间资金往来 · 暂无数据","action","PASS","true","empty","false","artifacts/frontend-page-identity/demo_role_finance-013.png","2236","false","false",""
