model,field_name,label,dependency_kind,formal_target_field,view_contract,search_sort_compatibility,formal_business_authority,approval_dependency,statistics_dependency,risk,proposed_action
construction.contract,p1_visible_06fa8c6f628f,单据状态,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,state,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_0965a7d1e74c,工程类别,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,engineering_category_text,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_0cf26c325f34,工程地址,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,engineering_address,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_17b341733b7b,合同编号,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,name,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_202b429f79ca,原件是否归档,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,archived,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_2585b4ab16bd,合同订立日期,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,date_contract,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_3e7255522b33,项目名称,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,project_id,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_3ec01dd569e2,合同标题,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,name,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_5839c15a34a4,挂靠人,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,affiliated_person,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_58a2eb3301c1,结算金额,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,amount_total,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_75b438b16f10,未收款,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,visible_unreceived_amount,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_75e856a13c7c,合同金额,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,amount_total,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_7b9f4bb3e3ea,工程内容,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,engineering_content,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_8fa8662ad38f,单据编号,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,name,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_99f6fe6c41ad,附件,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,attachment_ids;message_attachment_count,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_affba7961481,累计开票,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,visible_invoice_amount,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_bf0c9e684289,未收款比例,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,visible_unreceived_rate,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_da9d3c637407,累计收款,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,visible_received_amount,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_dfc25d77dc39,录入时间,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,source_created_at,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_ee6a4d9e2956,录入人,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,source_created_by,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract,p1_visible_fadf1135d6a4,发包人,DISPLAY_SEARCH_EXPORT_COMPATIBILITY,partner_id,true,true,false,false,false,HIGH_GLOBAL_DEFINITION,"Migrate display/view identity to formal fields, then retire alias by controlled upgrade."
construction.contract.expense,p1_visible_06fa8c6f628f,P1可见单据状态,STALE_VIEW_OR_REGISTRY_REFERENCE,,false,false,false,false,false,HIGH_STALE_GLOBAL_METADATA,"Prove zero references, then remove stale registry/view metadata in a reversible migration."
construction.contract.expense,p1_visible_0965a7d1e74c,P1可见工程类别,STALE_VIEW_OR_REGISTRY_REFERENCE,,false,false,false,false,false,HIGH_STALE_GLOBAL_METADATA,"Prove zero references, then remove stale registry/view metadata in a reversible migration."
construction.contract.expense,p1_visible_0cf26c325f34,P1可见工程地址,STALE_VIEW_OR_REGISTRY_REFERENCE,,false,false,false,false,false,HIGH_STALE_GLOBAL_METADATA,"Prove zero references, then remove stale registry/view metadata in a reversible migration."
